市,city,cities,code,Area,socio-accessibility,gini,Diff.Accessibility,GDP,人口规模,Population Scale (million),Population Density (%),Economic Level (%),Urbanization Level (%)
朝阳市,朝阳,Chaoyang,211300,Northeastern,0.284141484,0.40113127,0.360728528,1198189,5.818598149,3.281,5.140610371,8.179760494,0.2602
朔州市,朔州,Shuozhou,140600,Central,0.274211652,0.394068331,0.274577268,1185962,4.955545328,1.590346,4.895074787,8.988820502,0.3758
贺州市,贺州,Hezhou,451100,Western,0.419399394,0.283782444,0.257554191,1149806,5.34338633,2.0266,5.173207556,8.613412049,0.3988
忻州市,忻州,Xinzhou,140900,Central,0.280493514,0.354793259,0.195025132,1093822,5.68673804,2.663175,4.750654853,8.204671829,0.2025
新余市,新余,Xinyu,360500,Central,0.260334624,0.383791814,0.614500785,1091000,4.694553747,1.202145,5.840874188,9.202509793,0.3435
黄山市,黄山,Huangshan,341000,Central,0.411997277,0.285039751,0.24764555,1084187,4.989820154,1.332,5.009301071,8.906528918,0.2077
巴中市,巴中,Bazhong,511900,Western,0.276891929,0.420260842,0.338604005,1082321,5.875099256,2.676,5.668017118,8.023224685,0.4862
崇左市,崇左,Chongzuo,451400,Western,0.434554937,0.289378516,0.17902367,1064853,5.428863056,2.0877,4.87817,8.452547998,0.2256
铜陵市,铜陵,Tongling,340700,Central,0.269757256,0.412781115,0.550868709,1030449,4.261411467,1.306,6.456942325,9.588160179,0.5362
阜新市,阜新,Fuxin,210900,Northeastern,0.271011481,0.429576765,0.545836231,1030302,5.26279381,1.802,5.227894902,8.582793649,0.4452
雅安市,雅安,Ya'an,511800,Western,0.331088845,0.335421632,0.321848845,1003435,5.031417833,1.431,4.592996385,8.789355452,0.263
张家界市,张家界,Zhangjiajie,430800,Central,0.253005583,0.388747893,0.423253361,819087,5.058980915,1.514650005,5.108608591,8.558910785,0.2835
池州市,池州,Chizhou,341700,Central,0.289387835,0.366485452,0.318904945,755027,5.042844303,1.331,5.232551426,8.492080491,0.2135
丽江市,丽江,Lijiang,530700,Western,0.331371395,0.286048919,0.397200264,414050,4.717426868,1.254,3.965184554,8.219326094,0.2032
三亚市,三亚,Sanya,460200,Eastern,0.264951284,0.381126935,0.564147842,411659,3.919792743,1.0561,5.570555798,9.016270068,0.4711
林芝市,林芝,Linzhi,540400,Western,0.356940619,0.312948586,0.250432137,,,0.238,,,
日喀则市,日喀则,Rikaze,540200,Western,0.274865645,0.385877799,0.198945218,,,0.87,,,
呼伦贝尔市,呼伦贝尔,Hulunbuir,150700,Western,0.27562922,0.362855841,0.268372721,,5.601675918,2.2139,2.369308725,9.169310022,0.456
